"tfl_id","name","lat","lon"
1,"Acton Town",51.5026131000,-0.2798402000
2,"Barbican",51.5201454000,-0.0977111000
3,"Aldgate",51.5142708000,-0.0756142000
4,"Aldgate East",51.5152321000,-0.0722871000
5,"Alperton",51.5406952000,-0.2994865000
6,"Amersham",51.6741486000,-0.6074788000
7,"Angel",51.5324974000,-0.1057899000
8,"Archway",51.5654259000,-0.1351135000
9,"Arnos Grove",51.6163406000,-0.1335163000
10,"Arsenal",51.5584984000,-0.1057620000
11,"Baker Street",51.5230598000,-0.1569004000
12,"Balham",51.4433289000,-0.1532076000
13,"Bank",51.5133018000,-0.0889158000
14,"Barking",51.5394745000,0.0809598000
15,"Barkingside",51.5857849000,0.0885110000
16,"Barons Court",51.4903259000,-0.2136621000
17,"Bayswater",51.5122337000,-0.1880383000
18,"Becontree",51.5402870000,0.1274003000
19,"Belsize Park",51.5504265000,-0.1642323000
20,"Bethnal Green",51.5271950000,-0.0554311000
21,"Blackfriars",51.5114899000,-0.1036067000
22,"Blackhorse Road",51.5869446000,-0.0409949000
23,"Bond Street",51.5138054000,-0.1493324000
24,"Borough",51.5011940000,-0.0937027000
25,"Boston Manor",51.4957428000,-0.3247645000
26,"Bounds Green",51.6070900000,-0.1242190000
27,"Bow Road",51.5268021000,-0.0248237000
28,"Brent Cross",51.5768013000,-0.2134558000
29,"Bromley By Bow",51.5247688000,-0.0116619000
30,"Buckhurst Hill",51.6265182000,0.0467439000
31,"Burnt Oak",51.6026802000,-0.2641988000
32,"Caledonian Road",51.5484200000,-0.1183123000
33,"Camden Town",51.5394020000,-0.1427261000
35,"Canons Park",51.6077614000,-0.2946537000
36,"Chalfont & Latimer",51.6679001000,-0.5610000000
37,"Chalk Farm",51.5440826000,-0.1537280000
38,"Chancery Lane",51.5181236000,-0.1116774000
39,"Embankment",51.5072403000,-0.1223602000
40,"Chesham",51.7050323000,-0.6112192000
41,"Chigwell",51.6178703000,0.0745266000
42,"Chiswick Park",51.4945030000,-0.2681243000
43,"Chorleywood",51.6542168000,-0.5183660000
44,"Clapham Common",51.4617271000,-0.1383115000
45,"Clapham North",51.4648438000,-0.1295311000
46,"Clapham South",51.4525986000,-0.1479821000
47,"Cockfosters",51.6516876000,-0.1496147000
48,"Colindale",51.5952873000,-0.2501426000
49,"Colliers Wood",51.4180641000,-0.1777124000
50,"Covent Garden",51.5129089000,-0.1241593000
51,"Croxley",51.6470451000,-0.4417110000
52,"Dagenham East",51.5441170000,0.1658749000
53,"Dagenham Heathway",51.5416260000,0.1476842000
54,"Debden",51.6454353000,0.0838378000
55,"Dollis Hill",51.5519028000,-0.2387976000
56,"Ealing Broadway",51.5147171000,-0.3017110000
57,"Ealing Common",51.5101242000,-0.2882604000
58,"Earls Court",51.4918022000,-0.1935459000
59,"East Acton",51.5170250000,-0.2478576000
60,"Eastcote",51.5764923000,-0.3968446000
61,"East Finchley",51.5872726000,-0.1647383000
62,"East Ham",51.5389252000,0.0514755000
63,"East Putney",51.4588051000,-0.2110032000
64,"Edgware",51.6136246000,-0.2749760000
65,"Edgware Road",51.5199280000,-0.1676702000
66,"Elephant & Castle",51.4957771000,-0.1007296000
67,"Elm Park",51.5498009000,0.1991805000
68,"Epping",51.6936264000,0.1138669000
70,"Euston Square",51.5255623000,-0.1358361000
71,"Fairlop",51.5956802000,0.0909292000
72,"Farringdon",51.5204430000,-0.1050653000
73,"Finchley Central",51.6009750000,-0.1924471000
74,"Finchley Road",51.5470657000,-0.1804942000
75,"Finsbury Park",51.5643997000,-0.1065121000
76,"Fulham Broadway",51.4805298000,-0.1949568000
77,"Gants Hill",51.5764885000,0.0661155000
78,"Gloucester Road",51.8642616000,-2.2400119000
79,"Golders Green",51.5722198000,-0.1939933000
80,"Goldhawk Road",51.5018425000,-0.2266869000
81,"Goodge Street",51.5204239000,-0.1346622000
82,"Grange Hill",51.6133499000,0.0921464000
83,"Great Portland St",51.5237198000,-0.1439561000
84,"Greenford",51.5423050000,-0.3455168000
85,"Green Park",51.5068512000,-0.1429274000
86,"Gunnersbury",51.4916725000,-0.2752456000
87,"Hainault",51.6037254000,0.0931190000
88,"Hammersmith",51.4918976000,-0.2229506000
89,"Hampstead",51.5566902000,-0.1782198000
90,"Hanger Lane",51.5302925000,-0.2935839000
91,"Harrow On The Hill",51.5793304000,-0.3370159000
92,"Hendon Central",51.5832939000,-0.2264962000
93,"High Barnet",51.6506004000,-0.1947510000
94,"Highbury",51.5456314000,-0.1049417000
95,"Highgate",51.5775986000,-0.1466384000
96,"High Street Kens",51.5006752000,-0.1925031000
97,"Hillingdon",51.5537186000,-0.4499263000
98,"Holborn",51.5174370000,-0.1200088000
99,"Holland Park",51.5073357000,-0.2057287000
100,"Holloway Road",51.5527496000,-0.1129256000
101,"Hornchurch",51.5540047000,0.2190190000
102,"Hounslow Central",51.4712677000,-0.3665923000
103,"Hounslow East",51.4737930000,-0.3552827000
104,"Hounslow West",51.4730911000,-0.3857687000
105,"Hyde Park Corner",51.5027618000,-0.1527488000
106,"Ickenham",51.5619850000,-0.4420266000
107,"Kennington",51.4881248000,-0.1054645000
108,"Kensington Olympia",51.4978104000,-0.2103825000
109,"Kentish Town",51.5503044000,-0.1404642000
110,"Kew Gardens",51.4770737000,-0.2852342000
111,"Kilburn",51.5468788000,-0.2046333000
112,"Kilburn Park",51.5350685000,-0.1939659000
113,"Kingsbury",51.5847588000,-0.2787991000
115,"Knightsbridge",51.5015526000,-0.1605071000
116,"Ladbroke Grove",51.5171890000,-0.2108619000
117,"Lambeth North",51.4990578000,-0.1117603000
118,"Lancaster Gate",51.5118217000,-0.1754287000
119,"Latimer Road",51.5135422000,-0.2177793000
120,"Leicester Square",51.5112228000,-0.1282355000
121,"Leyton",51.5564346000,-0.0056199000
122,"Leytonstone",51.5681839000,0.0082150000
123,"Liverpool Street",51.5173531000,-0.0829657000
124,"London Bridge",51.5055008000,-0.0869224000
125,"Loughton",51.6415138000,0.0553120000
126,"Maida Vale",51.5297585000,-0.1856259000
127,"Manor House",51.5707550000,-0.0957125000
128,"Mansion House",51.5120201000,-0.0941871000
129,"Marble Arch",51.5136108000,-0.1583333000
130,"Marylebone",51.5222244000,-0.1631045000
131,"Mile End",51.5250931000,-0.0334042000
132,"Mill Hill East",51.6082573000,-0.2098944000
